Artist ,Event Title,Event Date,Year,Country ,City,Genre(s),Notes/Highlights
Nico Adomako ,Boxout Wednesdays 108,24th April,2019,,,,
Shama Anwar,Boxout Wednesdays 108,24th April,2019,,,,
Nishant gill,Boxout Wednesdays 108,24th April,2019,,,,
Coki ,Boxout Wednesdays 109,1st May ,2019,,,,
Stain ,Boxout Wednesdays 109,1st May,2019,,,,
Daisho ,Boxout Wednesdays 110,8th May ,2019,,,,
MC Soopy,Boxout Wednesdays 110,8th May ,2019,,,,
Shama Anwar,Boxout Wednesdays 110,8th May ,2019,,,,
Sez on the beat ,Boxout Wednesdays 111,15th May,2019,,,,
Uday Kapur,Boxout Wednesdays 111,15th May,2019,,,,
Short Human,Boxout Wednesdays 111,15th May,2019,,,,
Lao,Boxout Wednesdays 112,22nd May,2019,,,,
DJ MoCity,Boxout Wednesdays 112,22nd May,2019,,,,
Shama Anwar,Boxout Wednesdays 112,22nd May,2019,,,,
Nick Hook,Boxout Wednesdays 113,29th May ,2019,,,,
MadStarBase,Boxout Wednesdays 113,29th May ,2019,,,,
Nishant gill,Boxout Wednesdays 113,29th May ,2019,,,,
Orlando ,Boxout Wednesdays 114,5th June,2019,,,,
UP7T,Boxout Wednesdays 114,5th June,2019,,,,
Vijeyata,Boxout Wednesdays 114,5th June,2019,,,,
Molly ,Boxout Wednesdays 115,12th June,2019,,,,
Drum Attic,Boxout Wednesdays 115,12th June,2019,,,,
Dauwd ,Boxout Wednesdays 116,19th June,2019,,,,
D80,Boxout Wednesdays 116,19th June,2019,,,,
Valesuchi ,Boxout Wednesdays 117,26th June,2019,,,,
Shireen,Boxout Wednesdays 117,26th June,2019,,,,
Nishant gill,Boxout Wednesdays 117,26th June,2019,,,,
dreamstates,Boxout Wednesdays 118,3rd July ,2019,,,,
Trafficc,Boxout Wednesdays 118,3rd July ,2019,,,,
Girls Night Out ,Boxout Wednesdays 118,3rd July ,2019,,,,
Sega Bodega,Boxout Wednesdays 119,10th July,2019,,,,
Lush Lata,Boxout Wednesdays 119,10th July,2019,,,,
DJ MoCity,Boxout Wednesdays 119,10th July,2019,,,,
Hedrun ,Boxout Wednesdays 120,17th July,2019,,,,
Yung.Raj,Boxout Wednesdays 120,17th July,2019,,,,
Fatboi ,Boxout Wednesdays 120,17th July,2019,,,,
Sadboi ,Boxout Wednesdays 120,17th July,2019,,,,
Shama Anwar,Boxout Wednesdays 120,17th July,2019,,,,
Kalé ,Boxout Wednesdays 121,24th July ,2019,,,,
Ravana,Boxout Wednesdays 121,24th July ,2019,,,,
Watashi ,Boxout Wednesdays 121,24th July ,2019,,,,
Wave Diary ,Boxout Wednesdays 121,24th July ,2019,,,,
Stalvort John,Boxout Wednesdays 122,31st July,2019,,,,
Roadli ,Boxout Wednesdays 122,31st July,2019,,,,
Short Human,Boxout Wednesdays 122,31st July,2019,,,,
Stain ,Boxout Wednesdays 122,31st July,2019,,,,
Nishant gill,Boxout Wednesdays 122,31st July,2019,,,,
Champioin,Boxout Wednesdays 123,7th Aug,2019,,,,
Rohan  ,Boxout Wednesdays 123,7th Aug,2019,,,,
Stain ,Boxout Wednesdays 123,7th Aug,2019,,,,
Shama Anwar,Boxout Wednesdays 123,7th Aug,2019,,,,
Hotel Garuda ,Boxout Wednesdays 124,14th Aug ,2019,,,,
Priyam ,Boxout Wednesdays 124,14th Aug ,2019,,,,
MC Soopy,Boxout Wednesdays 124,14th Aug ,2019,,,,
Stain ,Boxout Wednesdays 124,14th Aug ,2019,,,,
Nishant gill,Boxout Wednesdays 124,14th Aug ,2019,,,,
Spryk ,Boxout Wednesdays 125,21st Aug,2019,,,,
Nash JR,Boxout Wednesdays 125,21st Aug,2019,,,,
DJ MoCity,Boxout Wednesdays 125,21st Aug,2019,,,,
Stain ,Boxout Wednesdays 125,21st Aug,2019,,,,
Nishant gill,Boxout Wednesdays 125,21st Aug,2019,,,,
Conducta ,Boxout Wednesdays 126,28th Aug,2019,,,,
Sodhi ,Boxout Wednesdays 126,28th Aug,2019,,,,
Drum Attic,Boxout Wednesdays 126,28th Aug,2019,,,,
Kampai ,Boxout Wednesdays 127,4th Sep,2019,,,,
