Artist ,Event Title,Event Date,Year,Country ,City,Genre(s),Notes/Highlights
DJ Flight ,Boxout Wednesdays 237,7th June,2023,UK,London,"Drum and Bass, Jungle, Halftime, Breaks",
UKato ,Boxout Wednesdays 237,7th June,2023,India ,New Delhi ,"Hip-Hop, Beats, Club, Bass",
Mutable Mercury,Boxout Wednesdays 237,7th June,2023,India ,New Delhi ,"Experimental, Ambient, Downtempo, Electronica",
Lush Lata ,Boxout Wednesdays 238,14th June,2023,India ,New Delhi ,"Hip-Hop, Soul, R&B, Beats",
Anirudh Khurana,Boxout Wednesdays 238,14th June,2023,India ,New Delhi ,"Hip-Hop, Beats, Club, Bass",
Nake,Boxout Wednesdays 238,14th June,2023,India ,Jalandhar,"Electronica, Downtempo, Ambient, Chillhop",
Roni ,Boxout Wednesdays 239,21st June,2023,France,Paris,"Electronica, Soul, Jazz, Funk",
Sleepy Insomniac ,Boxout Wednesdays 239,21st June,2023,India ,New Delhi ,"Ambient, Downtempo, Electronica, Experimental",
Hiranya ,Boxout Wednesdays 239,21st June,2023,India ,New Delhi ,"Electronica, Downtempo, Chillhop, Experimental",
Shortsell,Boxout Wednesdays 239,21st June,2023,India ,New Delhi ,"Hip-Hop, Beats, Club, Bass",
Stellar Nursery ,Boxout Wednesdays 240,28th June,2023,India ,Mumbai,"Indie, Electronica, Ambient, Experimental",
Bird ,Boxout Wednesdays 240,28th June,2023,India ,New Delhi ,"Indie, Dream Pop, Electronica, Experimental",
Annushka,Boxout Wednesdays 240,28th June,2023,Germany,Berlin,"Electronica, Techno, Acid, Experimental",
Jerome Hill,Boxout Wednesdays 241,5th July,2023,UK,London,"Techno, House, Acid, Club",
Prismer,Boxout Wednesdays 241,5th July,2023,India ,New Delhi ,"Experimental, Downtempo, Ambient, Electronica",
FILM,Boxout Wednesdays 241,5th July,2023,India ,New Delhi ,"Electronica, Downtempo, Ambient, Experimental",
Ishu,Boxout Wednesdays 241,5th July,2023,UK,London,"Techno, House, Minimal, Experimental",
MadStarBase,Boxout Wednesdays 242,12th July,2023,India ,New Delhi ,"Hip-Hop, Beats, Reggae, Soul",
Pia Collada,Boxout Wednesdays 242,12th July,2023,India ,Goa,"House, Disco, Funk, Soul",
Noni-Mouse ,Boxout Wednesdays 242,12th July,2023,India ,Mumbai,"Experimental, Electronica, Downtempo, Pop",
Dualist Inquiry ,Boxout Wednesdays 243,19th July ,2023,India ,Goa,"Indie, Electronica, Pop, Fusion",
DJ MoCity,Boxout Wednesdays 243,19th July ,2023,India ,New Delhi ,"Hip-Hop, Beats, Club, Bass",
